dataset,method,baseline_mean,baseline_std,baseline_total_time_s,baseline_mean_time_s,method_mean,method_std,method_total_time_s,method_mean_time_s,p_value,significant
kdd,dt,0.2849,0.013393655214316952,2640.73,132.04,0.67585,0.03980989198679142,2510.73,125.54,1.9073486328125e-06,True
kdd,csp,0.2849,0.013393655214316952,2640.73,132.04,0.040900000000000006,0.006729784543356496,3123.95,156.2,8.807368035275503e-05,True
kdd,hybrid,0.2849,0.013393655214316952,2640.73,132.04,0.12375,0.018476674484332944,3052.26,152.61,8.844915021211901e-05,True
adult,dt,0.10495000000000002,0.008206552260236939,2347.98,117.4,0.56005,0.03985282298658402,2700.68,135.03,1.9073486328125e-06,True
adult,csp,0.10495000000000002,0.008206552260236939,2347.98,117.4,0.2116,0.014991330828182,3074.91,153.75,8.832385863081277e-05,True
adult,hybrid,0.10495000000000002,0.008206552260236939,2347.98,117.4,0.26795,0.025267518675168722,2989.79,149.49,8.832385863081277e-05,True
compas,dt,0.03575000000000001,0.004763139720814412,2303.88,115.19,0.6608999999999999,0.023192455669894033,2311.78,115.59,8.844915021211901e-05,True
compas,csp,0.03575000000000001,0.004763139720814412,2303.88,115.19,0.42665,0.016817476029416547,3372.71,168.64,8.844915021211901e-05,True
compas,hybrid,0.03575000000000001,0.004763139720814412,2303.88,115.19,0.45470000000000016,0.03383947399118372,3189.91,159.5,8.782404130245518e-05,True
german,dt,0.026750000000000006,0.0032229644738966637,2309.56,115.48,0.3634,0.024059093914775762,2315.12,115.76,8.844915021211901e-05,True
german,csp,0.026750000000000006,0.0032229644738966637,2309.56,115.48,0.23450000000000001,0.013459197598668354,3663.52,183.18,8.832385863081277e-05,True
german,hybrid,0.026750000000000006,0.0032229644738966637,2309.56,115.48,0.28805,0.018672104862601853,3567.65,178.38,8.819870204194453e-05,True
dutch,dt,0.014450000000000001,0.003653423052426313,2322.33,116.12,0.151,0.03034633421024688,2327.24,116.36,8.844915021211901e-05,True
dutch,csp,0.014450000000000001,0.003653423052426313,2322.33,116.12,0.028600000000000004,0.005571355310873647,2769.88,138.49,8.794879347050151e-05,True
dutch,hybrid,0.014450000000000001,0.003653423052426313,2322.33,116.12,0.0849,0.029921397026208524,2790.15,139.51,8.832385863081277e-05,True
